所得の閾値,税率[%],,,,,,,,,,,,,,,,,,
201.03,5,,,0.05,,,,,,,,,,,,,,,
304.51,10,,,0.1,,,,,,,,,,,,,,,
698.69,20,,,0.2,,,,,,,,,,,,,,,
896.37,23,,,0.23,,,,,,,,,,,,,,,
2056.69,33,,,0.33,,,,,,,,,,,,,,,
3678.27,40,,,0.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,所得の閾値,税率[%],,,,,,,,,,,,,,,,
,,17.59,5,,,,,,,,,,,,,,,,
,,26.64,10,,,,,,,,,,,,,,,,
,,61.14,20,,,,,,税率[%],5,10,20,23,33,40,,,,
,,78.43,23,,,,,,所得の閾値,17.59,26.64,61.14,78.43,179.96,321.85,,,,
,,179.96,33,,,,,,,,,,,,,,,,
,,321.85,40,,,,,,,,,,,,,,(a),(b),(c)
,,,,,,,,,,,,,,,,ジニ係数,0.4803,0.4387,0.0476
